"issue","treated","accuracy","preference","republican","age","gov_exp"
"Needle Exchange",1,1,1,0,70,45
"Needle Exchange",1,0.75,0.5,1,74,12
"Needle Exchange",1,0.5,0.5,NA,NA,8
"Needle Exchange",1,0.5,0.333,1,NA,9
"Needle Exchange",1,0.75,1,0,NA,4
"Needle Exchange",0,1,0.5,0,NA,4
"Needle Exchange",0,1,1,0,NA,2
"Needle Exchange",0,0.5,0.5,0,66,4
"Needle Exchange",1,0.75,0.833,NA,65,12
"Needle Exchange",1,1,0.667,1,NA,4
"Needle Exchange",0,0.75,1,0,49,9
"Needle Exchange",0,0.75,1,0,64,3
"Needle Exchange",1,0.75,0.667,1,69,30
"Needle Exchange",0,0.5,0,1,NA,16
"Needle Exchange",1,0.75,0.833,1,NA,7
"Needle Exchange",1,0.75,0.5,1,56,25
"Needle Exchange",0,1,1,0,66,2
"Needle Exchange",1,0.5,0.5,1,NA,2.5
"Needle Exchange",0,0.75,0.833,0,65,15
"Needle Exchange",1,0.75,0.833,1,NA,25
"Needle Exchange",1,1,0.5,0,NA,18
"Needle Exchange",1,0.75,0.5,NA,65,11
"Needle Exchange",0,1,1,1,NA,18
"Needle Exchange",1,0.75,0.667,0,NA,20
"Needle Exchange",0,0.75,0.667,1,66,18
"Needle Exchange",1,0.75,0.167,1,NA,4
"Needle Exchange",0,0,0.833,1,NA,40
"Needle Exchange",0,0.5,0.667,0,74,16
"Needle Exchange",1,0.5,0.667,0,60,12
"Needle Exchange",1,0.5,0.667,1,65,40
"Needle Exchange",0,0.5,0,1,NA,2
"Needle Exchange",0,0.25,0.667,1,NA,3
"Needle Exchange",0,0.75,0.833,0,NA,6
"Needle Exchange",1,1,1,0,NA,19
"Needle Exchange",1,1,1,0,NA,9
"Needle Exchange",0,0.5,0.333,NA,NA,10
"Needle Exchange",1,0.5,0.5,1,62,3
"Needle Exchange",0,0.5,0.667,1,NA,23
"Needle Exchange",1,0.5,0.167,1,NA,9
"Needle Exchange",1,0.75,0.833,NA,62,16
"Needle Exchange",1,0.5,0.667,0,NA,7
"Needle Exchange",1,1,0.667,1,47,5
"Needle Exchange",1,1,0.5,1,58,40
"Needle Exchange",1,0.5,0.167,1,NA,5
"Needle Exchange",0,0.25,1,0,43,13
"Needle Exchange",0,0.25,0.667,1,51,15
"Needle Exchange",1,0.5,0.167,1,NA,12
"Needle Exchange",0,1,0.5,1,49,6
"Needle Exchange",1,1,1,0,NA,6
"Needle Exchange",1,0.25,0.833,1,68,28
"Needle Exchange",0,1,0.667,0,63,11
"Needle Exchange",0,1,1,0,60,8
"Needle Exchange",1,0.5,0.167,1,NA,12
"Needle Exchange",1,1,1,1,67,18
"Needle Exchange",0,1,1,0,NA,6
"Needle Exchange",1,0.5,0.167,1,67,2
"Needle Exchange",1,1,1,1,75,5.4
"Needle Exchange",1,1,1,0,63,22
"Needle Exchange",0,1,0.833,0,NA,38
"Needle Exchange",1,1,0.667,1,65,25
"Needle Exchange",0,1,0.833,0,69,12
"Needle Exchange",0,0.75,0.833,0,33,3
"Needle Exchange",0,0.75,0.833,0,62,10
"Needle Exchange",1,1,1,0,60,18
"Needle Exchange",0,0.75,0.667,0,26,3
"Needle Exchange",1,0.75,0.667,1,NA,5
"Needle Exchange",0,0.75,1,0,36,2
"Needle Exchange",0,0.75,0.667,1,51,10
"Needle Exchange",0,1,0.833,0,NA,12
"Needle Exchange",0,0.75,0,1,NA,25
"Needle Exchange",0,0.75,0.667,1,63,30
"Needle Exchange",1,0.75,1,0,33,3
"Needle Exchange",1,0.5,0.333,1,74,20
"Needle Exchange",1,1,1,0,67,13
"Needle Exchange",1,0.75,0.5,1,NA,8
"Needle Exchange",1,1,1,0,25,1
"Needle Exchange",0,1,0.833,1,NA,19.5
"Needle Exchange",1,1,1,1,73,10
"Needle Exchange",0,0,1,1,55,18
"Needle Exchange",1,0.75,0.667,1,NA,9
"Needle Exchange",1,1,0.5,1,62,15
"Needle Exchange",0,0.75,1,0,77,12
"Needle Exchange",0,1,0.833,0,28,2
"Needle Exchange",1,1,0.833,0,NA,22
"Needle Exchange",1,0.75,0.833,1,67,5
"Needle Exchange",0,0.5,0.167,1,NA,22
"Needle Exchange",0,0,1,0,NA,13
"Needle Exchange",0,0.5,0.667,0,NA,42
"Needle Exchange",1,0.75,0.667,1,NA,19
"Needle Exchange",0,0.75,1,0,53,4
"Needle Exchange",1,0.5,0.333,1,63,35
"Needle Exchange",0,1,1,0,71,23
"Needle Exchange",1,1,1,0,60,8
"Needle Exchange",1,1,1,1,62,4
"Needle Exchange",1,0.75,0.333,1,NA,15
"Needle Exchange",1,1,0.333,1,53,24
"Needle Exchange",0,0.75,1,0,64,4
"Needle Exchange",0,1,1,0,31,6
"Needle Exchange",0,0.5,0.167,0,NA,13
"Needle Exchange",0,0.5,0.5,1,NA,1
"Needle Exchange",1,0.75,1,1,NA,2
"Needle Exchange",0,0.5,0.667,0,NA,18
"Needle Exchange",1,1,0.833,1,NA,3
"Needle Exchange",0,0.25,0.833,0,26,1
"Needle Exchange",0,0.75,0.833,1,NA,30
"Needle Exchange",0,0.75,0.5,1,NA,7
"Needle Exchange",1,1,1,0,NA,10
"Needle Exchange",1,0.75,0.667,0,NA,37
"Needle Exchange",1,0.75,0.167,1,NA,5
"Needle Exchange",1,0.25,0.5,0,78,12
"Needle Exchange",0,0.5,0.5,0,NA,4
"Needle Exchange",0,0.75,0.833,0,NA,1
"Needle Exchange",0,0.75,0.167,NA,NA,1
"Needle Exchange",0,0,1,0,NA,40
"Needle Exchange",0,0.5,0.5,1,NA,12
"Needle Exchange",0,0.75,0.833,1,NA,30
"Needle Exchange",0,0.5,0.167,0,44,10
"Needle Exchange",0,0.75,1,0,NA,17
"Needle Exchange",0,0.75,0.833,1,NA,6
"Needle Exchange",0,0.75,0.833,1,NA,9
"Needle Exchange",0,0.75,1,0,NA,12
"Needle Exchange",0,0.75,0.667,0,NA,4
"Needle Exchange",0,0.75,1,1,52,1
"Needle Exchange",1,0.25,0.667,0,80,12
"Needle Exchange",0,0.25,0.667,1,79,10
"Needle Exchange",1,0.75,0.167,1,NA,8
"Needle Exchange",1,0.5,0.5,0,45,4
"Needle Exchange",0,0.25,0.833,1,NA,14
"Needle Exchange",0,0,0.833,1,NA,8
"Needle Exchange",1,1,0.833,1,NA,2
"Needle Exchange",0,1,1,0,58,6
"Needle Exchange",0,0.75,0.167,1,59,57
"Needle Exchange",1,0.75,1,0,68,28
"Needle Exchange",1,0.75,1,0,NA,10
"Needle Exchange",1,0.5,0.833,1,NA,8
"Needle Exchange",0,1,1,0,55,21
"Needle Exchange",0,1,1,0,44,14
"Needle Exchange",0,0.5,1,1,NA,16
"Needle Exchange",1,0.75,0.833,0,31,9
"Needle Exchange",0,1,1,1,NA,25
"Needle Exchange",0,1,0.833,1,53,29
"Needle Exchange",0,0.5,0.167,1,NA,6
"Needle Exchange",1,1,0.833,1,NA,41
"Needle Exchange",1,0.75,0.667,0,NA,4
"Needle Exchange",1,0.75,0.667,1,64,10
"Needle Exchange",1,1,0.167,1,NA,10
"Needle Exchange",1,1,0.167,1,60,2
"Needle Exchange",0,0.75,0.167,1,71,4
"Needle Exchange",1,1,1,0,27,2
"Needle Exchange",0,0.75,0.5,0,58,36
"Needle Exchange",0,0.75,0,1,43,2
"Needle Exchange",0,0.25,0,1,76,5
"Needle Exchange",0,0.25,0.667,0,55,5
"Needle Exchange",1,1,0.5,1,NA,4
"Needle Exchange",0,0.5,1,1,NA,47
"Needle Exchange",1,0.5,0.5,0,NA,35
"Needle Exchange",0,0.5,0.167,1,NA,4
"Needle Exchange",1,0.75,0.5,0,37,11
"Needle Exchange",1,0.75,0.5,1,NA,11
"Needle Exchange",1,0.75,0.833,0,NA,3
"Needle Exchange",1,0.75,0.667,1,NA,32
"Needle Exchange",1,0.75,0.5,1,NA,22
"Needle Exchange",0,1,1,0,NA,6
"Needle Exchange",0,1,0.833,1,NA,2
"Needle Exchange",1,0.75,0.5,1,NA,15
"Needle Exchange",0,0,0.833,0,NA,12
"Needle Exchange",1,0,0.5,0,NA,25
"Needle Exchange",1,0,0.833,1,NA,2
"Needle Exchange",0,0.25,0.5,NA,73,15
"Needle Exchange",0,0.75,0.833,1,NA,26
"Needle Exchange",1,0.75,0.5,1,NA,20
"Needle Exchange",1,1,0.833,0,NA,3
"Needle Exchange",1,0.5,0.833,0,NA,1
"Needle Exchange",1,1,1,0,NA,15
"Needle Exchange",1,1,0.5,0,NA,1.5
"Needle Exchange",1,0.5,0.5,0,NA,14
"Needle Exchange",0,0.25,0.5,0,NA,40
"Needle Exchange",1,0.75,0.667,1,47,25
"Needle Exchange",1,0.75,0.5,1,NA,36
"Needle Exchange",0,0.25,0.833,0,NA,1
"Needle Exchange",1,1,1,0,56,3
"Needle Exchange",0,0.75,1,0,41,5
"Needle Exchange",0,0.75,1,1,72,8
